date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:51	224388/224388	---M--	200	added ('OK')	image/png	etag:0x8DC0A98726A5E28	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-3pn.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-3pn.png	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:51	121011/121011	---M--	200	added ('OK')	image/png	etag:0x8DC0A9804113170	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/Screen%20Shot%202023-12-26%20at%2009.37.43.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/Screen%20Shot%202023-12-26%20at%2009.37.43.png	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:52	167369/167369	---M--	200	added ('OK')	image/png	etag:0x8DC0A98720DCD1A	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-1pn_1.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-1pn_1.png	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:52	200153/200153	---M--	200	added ('OK')	image/png	etag:0x8DC0A98725182B5	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-2pn_1.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-2pn_1.png	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:53	211476/211476	---M--	200	added ('OK')	image/png	etag:0x8DC0A987283129E	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-3pn_1.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/eaton-park-3pn_1.png	(from https://quyettranlux.com/projects/eaton-park-thanh-pho-ho-chi-minh)
14:35:53	268483/268483	---M--	200	added ('OK')	image/jpeg	etag:0x8DC38F3BD461A89	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-02-28_11-54-02.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-02-28_11-54-02.jpg	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:53	84707/84707	---M--	200	added ('OK')	image/jpeg	etag:0x8DC38F3DBB4BC14	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/Celesta-Heights-nha-be-03-e1621857143962.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/Celesta-Heights-nha-be-03-e1621857143962.jpg	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:54	799080/799080	---M--	200	added ('OK')	image/png	etag:0x8DC38F3F79FA978	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/celesta-heighs-vi-tri.png	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/celesta-heighs-vi-tri.png	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:54	90773/90773	---M--	200	added ('OK')	image/jpeg	etag:0x8DC38F40BA7072D	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/Celesta-Heights-nha-be-04-1-e1621857469638.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/Celesta-Heights-nha-be-04-1-e1621857469638.jpg	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:54	255664/255664	---M--	200	added ('OK')	image/jpeg	etag:0x8DC38F4218ACE24	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2024-02-27_19-29-50.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2024-02-27_19-29-50.jpg	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:55	197789/197789	---M--	200	added ('OK')	image/jpeg	etag:0x8DC38F594CB4660	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/mat-bang-tien-ich-celesta-height-tang-tret.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/mat-bang-tien-ich-celesta-height-tang-tret.jpg	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:55	418712/418712	---M--	200	added ('OK')	image/jpeg	etag:0x8DC38F44828CAB0	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/255201298_1254183185097872_6548431042702136689_n.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/255201298_1254183185097872_6548431042702136689_n.jpg	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:56	488882/488882	---M--	200	added ('OK')	image/jpeg	etag:0x8DC38F4484046D9	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/celesta-heighs-khuon-vien.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/celesta-heighs-khuon-vien.jpg	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:56	461281/461281	---M--	200	added ('OK')	image/jpeg	etag:0x8DC38F4485D196C	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/celesta-heighs-tien-ich.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/celesta-heighs-tien-ich.jpg	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:56	516734/516734	---M--	200	added ('OK')	image/png	etag:0x8DC38F6369CC3C3	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/MB%20t%e1%bb%95ng.PNG	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/MB%20t%e1%bb%95ng.png	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:57	80597/80597	---M--	200	added ('OK')	image/jpeg	etag:0x8DC38F63086F94A	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-02-28_11-54-29_1.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-02-28_11-54-29_1.jpg	(from https://quyettranlux.com/news/celesta-heights-nha-be-tong-quan-gia-ban-tien-do)
14:35:57	188105/188105	---M--	200	added ('OK')	image/jpeg	etag:0x8DC2F6A964DF84E	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2024-02-17_09-39-27_1.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2024-02-17_09-39-27_1.jpg	(from https://quyettranlux.com/news/tron-bo-phap-ly-du-an-eaton-park-quan-2-tap-doan-gamuda-land)
14:35:58	339504/339504	---M--	200	added ('OK')	image/jpeg	etag:0x8DC262C851045A4	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-11-19_09-24-14_1.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-11-19_09-24-14_1.jpg	(from https://quyettranlux.com/news/thuc-te-ban-giao-du-an-grand-marina-saigon-thang-22024)
14:35:58	906/906	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/t7f/2/16/1f31f.png	C:/Users/PC/Desktop/Docker/TEST/static.xx.fbcdn.net/images/emoji.php/v9/t7f/2/16/1f31f.png	(from https://quyettranlux.com/news/thuc-te-ban-giao-du-an-grand-marina-saigon-thang-22024)
14:35:58	353454/353454	---M--	200	added ('OK')	image/jpeg	etag:0x8DC262C944D28FE	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-11-19_09-24-20.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-11-19_09-24-20.jpg	(from https://quyettranlux.com/news/thuc-te-ban-giao-du-an-grand-marina-saigon-thang-22024)
14:35:58	165570/165570	---M--	200	added ('OK')	image/jpeg	etag:0x8DC262CFF5FBD7F	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/424805689_950345733764250_147979767424189920_n.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/424805689_950345733764250_147979767424189920_n.jpg	(from https://quyettranlux.com/news/thuc-te-ban-giao-du-an-grand-marina-saigon-thang-22024)
14:35:59	694/694	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/t35/2/16/2b50.png	C:/Users/PC/Desktop/Docker/TEST/static.xx.fbcdn.net/images/emoji.php/v9/t35/2/16/2b50.png	(from https://quyettranlux.com/news/du-an-eaton-park-chinh-thuc-nhan-booking)
14:35:59	414128/414128	---M--	200	added ('OK')	image/jpeg	etag:0x8DC262C9D9E9E44	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-11-19_09-24-11.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/photo_2023-11-19_09-24-11.jpg	(from https://quyettranlux.com/news/thuc-te-ban-giao-du-an-grand-marina-saigon-thang-22024)
14:35:59	912/912	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/tef/2/16/1f525.png	C:/Users/PC/Desktop/Docker/TEST/static.xx.fbcdn.net/images/emoji.php/v9/tef/2/16/1f525.png	(from https://quyettranlux.com/news/du-an-eaton-park-chinh-thuc-nhan-booking)
14:35:59	656/656	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/tf0/2/16/1f449.png	C:/Users/PC/Desktop/Docker/TEST/static.xx.fbcdn.net/images/emoji.php/v9/tf0/2/16/1f449.png	(from https://quyettranlux.com/news/du-an-eaton-park-chinh-thuc-nhan-booking)
14:36:00	420/420	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/tf4/1/16/2728.png	C:/Users/PC/Desktop/Docker/TEST/static.xx.fbcdn.net/images/emoji.php/v9/tf4/1/16/2728.png	(from https://quyettranlux.com/news/dinh-nghia-chinh-xac-nhat-cho-cuoc-song-quite-luxury-tai-can-ho-sieu-sang-vua-moi-hoan-thien)
14:36:00	523/523	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png	C:/Users/PC/Desktop/Docker/TEST/static.xx.fbcdn.net/images/emoji.php/v9/t40/1/16/1f4a5.png	(from https://quyettranlux.com/news/dinh-nghia-chinh-xac-nhat-cho-cuoc-song-quite-luxury-tai-can-ho-sieu-sang-vua-moi-hoan-thien)
14:36:00	1084015/1084015	---M--	200	added ('OK')	image/jpeg	etag:0x8DC23DB9E9983AA	https://truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/425456205_912738487522422_595356546663223488_n.jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/df6b02cb-c69c-4808-b071-64078607d758/425456205_912738487522422_595356546663223488_n.jpg	(from https://quyettranlux.com/news/du-an-eaton-park-chinh-thuc-nhan-booking)
14:36:01	348/348	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/images/emoji.php/v9/t33/1/16/2705.png	C:/Users/PC/Desktop/Docker/TEST/static.xx.fbcdn.net/images/emoji.php/v9/t33/1/16/2705.png	(from https://quyettranlux.com/news/dinh-nghia-chinh-xac-nhat-cho-cuoc-song-quite-luxury-tai-can-ho-sieu-sang-vua-moi-hoan-thien)
14:36:01	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css)
14:36:02	125918/125918	---M--	200	added ('OK')	image/jpeg	etag:0x8DBBFD3CBA67EEC	https://truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/can-ho-chung-cu-Masteri-Centre-Point-3(1).jpg	C:/Users/PC/Desktop/Docker/TEST/truststone.blob.core.windows.net/images/e43e98bb-1882-45bb-9197-6626e7e73f49/can-ho-chung-cu-Masteri-Centre-Point-3(1).jpg	(from https://quyettranlux.com/projects/masteri-centre-point-thanh-pho-ho-chi-minh)
